job_title,company_name,address,job_description,job_source_url,job_posted_date,job_source,job_type,job_description_tags
Sr. Software Engineer (.NET) / Sr .NET Developer (Direct Client),Spar Information Systems,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/a6bdb3d6-d1fc-4a31-a572-407a2fe6a3c4?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer Senior 308963 - Python Developer,"Miracle Software Systems, Inc.","Remote or Dearborn, MI, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/5186d5f5-a721-49fe-856e-d5f1480fc306?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer II - GraphQL Platform,"Advent Global Solutions, Inc.","Remote or California City, CA, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/89876cc8-5626-4cbc-9ef7-db8c4e6a2cf4?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer II - GraphQL Platform,Precision Technologies Corp,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/60a7f102-199c-42ed-beff-348074a7c34c?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Security Engineer/APP Developer,Cozy System,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/071ec3af-9b89-4d6f-adc3-dd46ca870bcb?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Embedded Software engineer,Vigna Solutions Inc.,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/0431ac7b-8e97-4bb3-be23-8d9c03e305cb?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Remote::Embedded Software Engineer,Ivy Tech Solutions Inc,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/75ecf765-d715-4cea-949f-54b17fc10eb2?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
IAM Software Engineer(100% Remote),Saksoft,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/c4d24bc5-c28b-4498-90c0-4795dfdade41?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer,West Coast Consulting LLC,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/c240cfa2-289c-41ad-8c36-b65825e9a9ec?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Lead Software Engineer (Node.js and React) Streaming Exp Must,Shrive Technologies LLC,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/cc996738-d213-45a8-b213-3781a1349e4b?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer- Lead,S2SSoft,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/4bff986a-5082-4023-94ca-b2082c54579a?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Migration Engineer/Software Engineer Specialist,Ampcus Inc,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/449c2d91-6cf9-4b09-8bc6-c5e7577535e2?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
GraphQL Software Engineer,Precision Technologies Corp,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/ad1ac3a9-2b6c-4113-9c59-3477fe1adf7d?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Senior Software Engineer - Z22598326 ; Rate: Open ; W2 Contract Only,Centizen,"Remote or Beaverton, OR, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/d94b7b9d-a0cf-479a-af66-259966cb9633?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Senior Full Stack Software Engineer (React/Lambda Based),Kellton,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/34030975-c011-4ec1-a0ec-341f2b45424a?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Lead Salesforce Developer / Engineer - Service Cloud and Sales Cloud,DynPro Inc.,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/76d15a05-fe5a-444e-a09b-65ecc5dbe9c6?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer (GO-Language),Xoriant Corporation,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/e589ae78-e351-428c-8a2a-e7d3df8b9dd5?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer | eCommerce,Vedainfo Inc.,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/c2c6a5a4-3b7e-4d20-84b1-d8efc4dfe785?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Software Engineer,To The New,Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/cd990c3c-cbcf-462a-a246-519b25ade7fa?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
Fully Remote - LEAD SDET - Software Engineer in Test,Resource Informatics Group,"Remote or Irving, TX, USA","Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote Duration: 3 Months Contract to hire Description: Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou",https://www.dice.com/job-detail/f6d1f7be-23f7-4a0e-bdbf-0640bfb1f8f7?searchlink=search%2F%3Fq%3Ddeveloper%2520or%2520software%2520engineer%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D20%26filters.postedDate%3DSEVEN%26filters.employmentType%3DTHIRD_PARTY%257CCONTRACTS%257CPARTTIME%26filters.employerType%3DDirect%2520Hire%26filters.isRemote%3Dtrue%26language%3Den&searchId=584b7315-e767-4957-8585-0893a511f3a5,Posted 2 hours ago,Dice,Contract Remote,"Hope you all are doing great, One of our client is looking for Software Engineer (.NET) / Sr .NET Developer, Kindly share your updated resume Role: Software Engineer (.NET) / Sr .NET Developer Location: Chevy Chase, MD/Remote  Duration: 3 Months Contract to hire Description:  Client is seeking an experienced Engineer with a passion for building high-performance, low-latency platforms, and applications. You will help drive our insurance business transformation as we redefine the experience for ou"
